File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Web Attack,SVM,0.6154110767113863,0.34006084023826566,0.4406424431660215,0.38264357126249715,0.4047560691833496
Web Attack,SVM,0.7801857585139319,0.7592430060076293,0.803380097949058,0.7639680025616249,0.38956141471862793
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.523453950881958
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.4795951843261719
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.45960068702697754
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.32683420181274414
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.3254070281982422
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.3679771423339844
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.3210463523864746
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.31290292739868164
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.36582064628601074
Web Attack,Nearest Neighbors,0.9518403852769178,0.9422406989315517,0.9433905772150817,0.9428127718985857,0.30039191246032715
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.02709221839904785
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.02527308464050293
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.024237871170043945
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.02879953384399414
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.0265653133392334
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.025296688079833984
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.028598785400390625
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.024308443069458008
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.02493739128112793
DoS Slowhttptest,Naive Bayes,0.736088379705401,0.8251469220361914,0.5652377056329195,0.5382874992478316,0.02482318878173828
DoS Slowhttptest,Random Forest,0.9809056192034915,0.9853557110315208,0.9694701824479506,0.9769542296020415,0.08827805519104004
